Eta Bin	Phi Bin	Content	Error
-0.615385	1.0472	0.00555876	0.0191832
-0.615385	1.5708	-0.0198779	0.019214
-0.615385	2.0944	-0.0185713	0.0189554
-0.615385	2.61799	0.0232532	0.0192735
-0.615385	3.14159	0.0697274	0.0198646
-0.615385	3.66519	0.0232532	0.0192735
-0.615385	4.18879	-0.0185713	0.0189554
-0.615385	4.71239	-0.0198779	0.019214
-0.307692	-1.0472	-0.0247872	0.0168112
-0.307692	-0.523599	0.0254152	0.0169742
-0.307692	0.0	0.0648224	0.0173514
-0.307692	0.523599	0.0254152	0.0169742
-0.307692	1.0472	-0.0247872	0.0168112
-0.307692	1.5708	-0.0339271	0.0168087
-0.307692	2.0944	-0.0341547	0.0167052
-0.307692	2.61799	-0.0113649	0.017061
-0.307692	3.14159	0.0412479	0.0172323
-0.307692	3.66519	-0.0113649	0.017061
-0.307692	4.18879	-0.0341547	0.0167052
-0.307692	4.71239	-0.0339271	0.0168087
0.0	-1.0472	-0.0282749	0.0161424
0.0	-0.523599	0.024842	0.0161466
0.0	-1.66533e-016	0.137652	0.0177564
0.0	0.523599	0.024842	0.0161466
0.0	1.0472	-0.0282749	0.0161424
0.0	1.5708	-0.0491669	0.0158222
0.0	2.0944	-0.0118336	0.0162731
0.0	2.61799	0.0112606	0.0164658
0.0	3.14159	0.0920431	0.0170236
0.0	3.66519	0.0112606	0.0164658
0.0	4.18879	-0.0118336	0.0162731
0.0	4.71239	-0.0491669	0.0158222
0.307692	-1.0472	-0.0247872	0.0168112
0.307692	-0.523599	0.0254152	0.0169742
0.307692	0.0	0.0648224	0.0173514
0.307692	0.523599	0.0254152	0.0169742
0.307692	1.0472	-0.0247872	0.0168112
0.307692	1.5708	-0.0339271	0.0168087
0.307692	2.0944	-0.0341547	0.0167052
0.307692	2.61799	-0.0113649	0.017061
0.307692	3.14159	0.0412479	0.0172323
0.307692	3.66519	-0.0113649	0.017061
0.307692	4.18879	-0.0341547	0.0167052
0.307692	4.71239	-0.0339271	0.0168087
0.615385	-1.0472	0.00555876	0.0191832
0.615385	-0.523599	0.0143668	0.019044
0.615385	0.0	-0.021272	0.0188892
0.615385	0.523599	0.0143668	0.019044
0.615385	1.0472	0.00555876	0.0191832
0.615385	1.5708	-0.0198779	0.019214
0.615385	2.0944	-0.0185713	0.0189554
0.615385	2.61799	0.0232532	0.0192735
0.615385	3.14159	0.0697274	0.0198646
0.615385	3.66519	0.0232532	0.0192735
0.615385	4.18879	-0.0185713	0.0189554
0.615385	4.71239	-0.0198779	0.019214
0.923077	-1.0472	0.0157957	0.0228869
0.923077	-0.523599	0.00421845	0.0229459
0.923077	0.0	-0.0422798	0.0225091
0.923077	0.523599	0.00421845	0.0229459
0.923077	1.0472	0.0157957	0.0228869
0.923077	1.5708	-0.024356	0.022932
0.923077	2.0944	0.00561835	0.0232767
0.923077	2.61799	-0.00888003	0.0229978
0.923077	3.14159	0.0106139	0.0230275
0.923077	3.66519	-0.00888003	0.0229978
0.923077	4.18879	0.00561835	0.0232767
0.923077	4.71239	-0.024356	0.022932
1.23077	-1.0472	-0.0139144	0.0323319
1.23077	-0.523599	0.0185159	0.0350073
1.23077	0.0	-0.0117731	0.0339508
1.23077	0.523599	0.0185159	0.0350073
1.23077	1.0472	-0.0139144	0.0323319
1.23077	1.5708	-0.00743025	0.0320601
1.23077	2.0944	0.027913	0.0330133
1.23077	2.61799	0.0273386	0.0326786
1.23077	3.14159	0.0154532	0.0336869
1.23077	3.66519	0.0273386	0.0326786
1.23077	4.18879	0.027913	0.0330133
1.23077	4.71239	-0.00743025	0.0320601
1.53846	-1.0472	0.0527014	0.0647319
1.53846	-0.523599	-0.152123	0.070793
1.53846	0.0	0.086908	0.0691044
1.53846	0.523599	-0.152123	0.070793
1.53846	1.0472	0.0527014	0.0647319
1.53846	1.5708	-0.0831194	0.0674613
1.53846	2.0944	-0.0858822	0.057742
1.53846	2.61799	0.0163897	0.0617705
1.53846	3.14159	-0.0466839	0.0594432
1.53846	3.66519	0.0163897	0.0617705
1.53846	4.18879	-0.0858822	0.057742
1.53846	4.71239	-0.0831194	0.0674613
1.84615	-1.0472	0.540094	0.452335
1.84615	-0.523599	-0.167692	0.161153
1.84615	0.0	-0.0737032	0.209782
1.84615	0.523599	-0.167692	0.161153
1.84615	1.0472	0.540094	0.452335
1.84615	1.5708	0.294677	0.379239
1.84615	2.0944	0.0883163	0.237322
1.84615	2.61799	0.221045	0.317593
1.84615	3.14159	-0.0960165	0.161499
1.84615	3.66519	0.221045	0.317593
1.84615	4.18879	0.0883163	0.237322
1.84615	4.71239	0.294677	0.379239
